
2023/03/12 (15:54:31) | ===> btop++ v.1.2.13
2023/03/12 (15:54:31) | ERROR: Stall in Runner thread, restarting!
2023/03/12 (15:55:32) | ERROR: Stall in Runner thread, restarting!
2023/03/12 (15:56:55) | ERROR: Stall in Runner thread, restarting!

2023/03/14 (21:26:37) | ===> btop++ v.1.2.13
2023/03/14 (21:26:37) | ERROR: Stall in Runner thread, restarting!

2023/03/14 (21:26:45) | ===> btop++ v.1.2.13
2023/03/14 (21:26:45) | ERROR: Stall in Runner thread, restarting!

2023/04/11 (21:47:46) | ===> btop++ v.1.2.13
2023/04/11 (21:47:46) | INFO: Logger set to INFO
2023/04/11 (21:47:47) | INFO: Logger set to DEBUG
